,x
647,0.40147406131941454
648,0.4030082456626368
649,0.40451726319989223
650,0.4060014833777801
651,0.06877267010367079
652,0.06709439747734432
653,0.06541284853115928
654,0.39171836195371484
655,0.39341193534796587
656,0.3950778846222182
657,0.3967166505750272
658,0.3983286607632431
659,0.3999143300832172
660,0.40147406131941454
661,0.06541284853115928
662,0.06372801349217834
663,0.062039882493311514
664,0.3882465096676674
665,0.3899967097830049
666,0.39171836195371484
667,0.39341193534796587
668,0.3950778846222182
669,0.062039882493311514
670,0.060348445573385284
671,0.3846585121628517
672,0.3864672772335766
673,0.3882465096676674
674,0.060348445573385284
675,0.3809502983621899
676,0.38281969740912775
677,0.3846585121628517
678,0.05865369267721111
679,0.05695561365565147
680,0.3731555007654036
681,0.37515296679236976
682,0.37711751572913194
683,0.37904976195792245
684,0.3809502983621899
685,0.05695561365565147
686,0.05525419826569056
687,0.3690592453896121
688,0.37112448060944014
689,0.3731555007654036
690,0.37515296679236976
691,0.37711751572913194
692,0.05695561365565147
693,0.05525419826569056
694,0.3604420216380431
695,0.3626512529738066
696,0.36482335847118
697,0.3669591089465581
698,0.43096913627602235
699,0.05525419826569056
700,0.05354943617049823
701,0.353583378837809
702,0.35590893828044173
703,0.3581948620485073
704,0.3604420216380431
705,0.4030082456626368
706,0.40451726319989223
707,0.4060014833777801
708,0.4074612654411259
709,0.415725690009637
710,0.4170236892396193
711,0.4182998026786893
712,0.4195543141140136
713,0.420787500455037
714,0.4219996319831837
715,0.42319097258988164
716,0.424361780003574
717,0.4255123060063297
718,0.4266427966406354
719,0.427753492406901
720,0.4288446284521901
721,0.42991643475064023
722,0.43096913627602235
723,0.43200295316684867
724,0.43301810088442366
725,0.43401479036419766
726,0.4349932281607715
727,0.43595361658687287
728,0.4368961538466065
729,0.43782103416326723
730,0.43872844790198046
731,0.4396185816874288
732,0.05354943617049823
733,0.05184131693949772
734,0.3488096755348655
735,0.35121727442491935
736,0.353583378837809
737,0.35590893828044173
738,0.40147406131941454
739,0.4030082456626368
740,0.4088969588484571
741,0.41030890366580236
742,0.41169743094017675
743,0.4130628630540215
744,0.4144055140617713
745,0.420787500455037
746,0.44049161851689733
747,0.44134773786886844
748,0.4421871158073753
749,0.44300992508231574
750,0.44381633522591635
751,0.4446065126455244
752,0.44538062071289947
753,0.44613881985016224
754,0.446881267612554
755,0.4476081187681491
756,0.44831952537465747
757,0.44901563685344503
758,0.44969660006089435
759,0.4503625593572224
760,0.4510136566728637
761,0.4516500315725254
762,0.4522718213170097
763,0.45287916092290353
764,0.05184131693949772
765,0.05012983004843132
766,0.04841496487942576
767,0.04669671072105709
768,0.3438659793354767
769,0.3463595898360118
770,0.3488096755348655
771,0.3882465096676674
772,0.3899967097830049
773,0.39171836195371484
774,0.39341193534796587
775,0.3950778846222182
776,0.3967166505750272
777,0.3983286607632431
778,0.3999143300832172
779,0.40147406131941454
780,0.44831952537465747
781,0.44901563685344503
782,0.44969660006089435
783,0.4503625593572224
784,0.4510136566728637
785,0.4516500315725254
786,0.4522718213170097
787,0.45287916092290353
788,0.45347218322021904
789,0.04669671072105709
790,0.044975056768414824
791,0.3413277572959021
792,0.3438659793354767
793,0.3731555007654036
794,0.37515296679236976
795,0.37711751572913194
796,0.37904976195792245
797,0.3809502983621899
798,0.38281969740912775
799,0.3846585121628517
800,0.3864672772335766
801,0.3882465096676674
802,0.3899967097830049
803,0.39171836195371484
804,0.39341193534796587
805,0.4540510189080735
806,0.45461579660848966
807,0.4551666429183914
808,0.45570368245986925
809,0.45622703792878744
810,0.044975056768414824
811,0.3361128674839667
812,0.3387437848787612
813,0.3413277572959021
814,0.3690592453896121
815,0.37112448060944014
816,0.3731555007654036
817,0.37515296679236976
818,0.37711751572913194
819,0.45622703792878744
820,0.45673683014179567
821,0.45723317808181047
822,0.45771619894202753
823,0.4581860081685222
824,0.4586427195014907
825,0.04324999212316667
826,0.3307051161861332
827,0.33343375075150156
828,0.3361128674839667
829,0.36482335847118
830,0.3669591089465581
831,0.3690592453896121
832,0.4590864450151899
833,0.4595172951566186
834,0.4599353787829955
835,0.46034080319807374
